,album,track_number,id,name,uri,acousticness,danceability,energy,instrumentalness,liveness,loudness,speechiness,tempo,valence,popularity
258,Starboy,10,2QErvFddvI9I4QokOsQXdC,Six Feet Under,spotify:track:2QErvFddvI9I4QokOsQXdC,0.121,0.776,0.483,0.0,0.118,-8.262,0.0784,140.005,0.24,38
259,Starboy,11,1E43TJhKcM8hXgM958ROQ1,Love To Lay,spotify:track:1E43TJhKcM8hXgM958ROQ1,0.0519,0.711,0.807,0.0,0.214,-5.053,0.0608,116.971,0.699,49
260,Starboy,12,4UknpXoLjlB7Mao4UWcJ2o,A Lonely Night,spotify:track:4UknpXoLjlB7Mao4UWcJ2o,0.0431,0.853,0.663,8.65e-06,0.0891,-6.955,0.0755,113.999,0.864,57
261,Starboy,13,0HlIziU2FZ7BjiQDt8Zost,Attention,spotify:track:0HlIziU2FZ7BjiQDt8Zost,0.726,0.668,0.435,8.17e-05,0.117,-7.115,0.117,148.069,0.361,35
262,Starboy,14,7lsYGc5H5DHktxO7gbB8bN,Ordinary Life,spotify:track:7lsYGc5H5DHktxO7gbB8bN,0.0276,0.544,0.586,0.0,0.0962,-7.486,0.0794,149.882,0.361,59
263,Starboy,15,3Te3gG6MPEDNqLGzWrjKC3,Nothing Without You,spotify:track:3Te3gG6MPEDNqLGzWrjKC3,0.064,0.599,0.635,0.0,0.0878,-8.101,0.0679,109.919,0.194,59
264,Starboy,16,4MBGysmc3qsFY3jYEgYfHe,All I Know,spotify:track:4MBGysmc3qsFY3jYEgYfHe,0.461,0.636,0.402,0.00112,0.101,-10.746,0.0559,120.02,0.194,35
265,Starboy,17,2LBqCSwhJGcFQeTHMVGwy3,Die For You,spotify:track:2LBqCSwhJGcFQeTHMVGwy3,0.111,0.586,0.525,0.0,0.134,-7.163,0.0615,133.629,0.508,86
266,Starboy,18,5GXAXm5YOmYT0kL5jHvYBt,I Feel It Coming,spotify:track:5GXAXm5YOmYT0kL5jHvYBt,0.426,0.773,0.819,0.0,0.0679,-5.946,0.118,92.99,0.585,74
267,Beauty Behind The Madness,1,60jW6P7AGw2FozTaqctJ4i,Real Life,spotify:track:60jW6P7AGw2FozTaqctJ4i,0.438,0.58,0.653,0.0,0.351,-5.04,0.0506,90.726,0.346,9
268,Beauty Behind The Madness,2,2bWO9puW3hXQcZZsehDRCo,Losers,spotify:track:2bWO9puW3hXQcZZsehDRCo,0.0309,0.661,0.483,0.000801,0.507,-9.793,0.0496,90.994,0.296,9
269,Beauty Behind The Madness,3,4cgDltqQz6YKPotLNbfGDn,Tell Your Friends,spotify:track:4cgDltqQz6YKPotLNbfGDn,0.265,0.565,0.454,0.0,0.181,-11.091,0.0461,74.809,0.312,11
270,Beauty Behind The Madness,4,3Hf7SsKqVeZ0uW164edrJl,Often,spotify:track:3Hf7SsKqVeZ0uW164edrJl,0.248,0.567,0.622,0.0,0.139,-9.821,0.046,133.984,0.0751,11
271,Beauty Behind The Madness,5,7H5EBs3aGqRPZaGEvU6y6F,The Hills,spotify:track:7H5EBs3aGqRPZaGEvU6y6F,0.0841,0.374,0.55,0.0,0.139,-7.007,0.0848,112.912,0.124,17
272,Beauty Behind The Madness,6,5OejsjQoFVXniKLsXYs7G4,Acquainted,spotify:track:5OejsjQoFVXniKLsXYs7G4,0.437,0.485,0.481,0.0,0.0861,-9.858,0.051,105.934,0.233,12
273,Beauty Behind The Madness,7,64bYIchESwtANfBlwJoK1e,Can't Feel My Face,spotify:track:64bYIchESwtANfBlwJoK1e,0.112,0.705,0.769,0.0,0.105,-5.526,0.0426,107.939,0.59,20
274,Beauty Behind The Madness,8,7MMQME7nvRBZ1ru82bJ9of,Shameless,spotify:track:7MMQME7nvRBZ1ru82bJ9of,0.146,0.603,0.562,0.0,0.109,-8.311,0.0267,100.038,0.244,9
275,Beauty Behind The Madness,9,7ID2dydg1QFuWObmdhwzfm,Earned It (Fifty Shades Of Grey),spotify:track:7ID2dydg1QFuWObmdhwzfm,0.408,0.647,0.291,0.0,0.0772,-8.275,0.0363,119.839,0.4,26
276,Beauty Behind The Madness,10,17ghHlAfjnAIEpYGTlX4GL,In The Night,spotify:track:17ghHlAfjnAIEpYGTlX4GL,0.0803,0.4,0.673,0.0,0.0484,-4.967,0.125,112.122,0.508,12
277,Beauty Behind The Madness,11,2d1ogCmohNk5jsRTk0eCNs,As You Are,spotify:track:2d1ogCmohNk5jsRTk0eCNs,0.131,0.371,0.329,0.00625,0.279,-9.667,0.0574,173.661,0.0539,9
278,Beauty Behind The Madness,12,3JOh1LxSDVjTLF5DAB8R5M,Dark Times,spotify:track:3JOh1LxSDVjTLF5DAB8R5M,0.114,0.501,0.403,1.1e-05,0.124,-9.607,0.0752,132.608,0.27,6
279,Beauty Behind The Madness,13,3q3INoUz56tAaKXZSkONon,Prisoner,spotify:track:3q3INoUz56tAaKXZSkONon,0.441,0.55,0.404,0.00022,0.11,-12.755,0.0398,135.016,0.329,7
280,Beauty Behind The Madness,14,2qHMUxqGht8K1wNjXG40wH,Angel,spotify:track:2qHMUxqGht8K1wNjXG40wH,0.105,0.626,0.583,0.0,0.115,-7.574,0.0435,127.956,0.335,8
281,Beauty Behind The Madness,15,5KIfOGEy5DM2TaT0ph5nYM,Can't Feel My Face - Martin Garrix Remix,spotify:track:5KIfOGEy5DM2TaT0ph5nYM,0.0104,0.605,0.714,2.35e-05,0.324,-5.432,0.101,128.025,0.136,10
282,Beauty Behind The Madness,16,2jpBr2dJrIgrpkqorINSAa,The Hills - Remix,spotify:track:2jpBr2dJrIgrpkqorINSAa,0.0681,0.65,0.632,0.0,0.0875,-6.672,0.184,112.927,0.33,9
283,Beauty Behind The Madness,17,019FM2BxcPE2vyGWeOWhvS,The Hills - Remix,spotify:track:019FM2BxcPE2vyGWeOWhvS,0.0974,0.409,0.602,0.0,0.107,-7.025,0.108,110.463,0.186,7
284,Beauty Behind The Madness,1,03j354P848KtNU2FVSwkDG,Real Life,spotify:track:03j354P848KtNU2FVSwkDG,0.439,0.581,0.652,0.0,0.351,-5.039,0.0496,90.634,0.358,60
285,Beauty Behind The Madness,2,1bAvtmTl0F9loyz9AwPwp7,Losers,spotify:track:1bAvtmTl0F9loyz9AwPwp7,0.0355,0.666,0.485,0.000599,0.504,-9.85,0.053,91.007,0.287,61
286,Beauty Behind The Madness,3,1mhVXWduD8ReDwusfaHNwU,Tell Your Friends,spotify:track:1mhVXWduD8ReDwusfaHNwU,0.265,0.583,0.454,0.0,0.181,-11.091,0.0425,74.64,0.309,71
287,Beauty Behind The Madness,4,4PhsKqMdgMEUSstTDAmMpg,Often,spotify:track:4PhsKqMdgMEUSstTDAmMpg,0.222,0.572,0.631,0.0,0.135,-9.836,0.0476,134.078,0.0713,80
288,Beauty Behind The Madness,5,7fBv7CLKzipRk6EC6TWHOB,The Hills,spotify:track:7fBv7CLKzipRk6EC6TWHOB,0.0671,0.585,0.564,0.0,0.135,-7.063,0.0515,113.003,0.137,86
289,Beauty Behind The Madness,6,7uJH0YdSZL6psjxI6Xy08b,Acquainted,spotify:track:7uJH0YdSZL6psjxI6Xy08b,0.482,0.372,0.478,0.0,0.0844,-9.835,0.0503,101.102,0.254,75
290,Beauty Behind The Madness,7,22VdIZQfgXJea34mQxlt81,Can't Feel My Face,spotify:track:22VdIZQfgXJea34mQxlt81,0.113,0.705,0.769,0.0,0.105,-5.526,0.0425,107.949,0.583,81
291,Beauty Behind The Madness,8,6C6fHTuFUxVtJpBOOaMvJr,Shameless,spotify:track:6C6fHTuFUxVtJpBOOaMvJr,0.147,0.603,0.563,0.0,0.109,-8.313,0.027,100.06,0.234,65
292,Beauty Behind The Madness,9,4frLb7nWtsz2ymBE6k2GRP,Earned It (Fifty Shades Of Grey),spotify:track:4frLb7nWtsz2ymBE6k2GRP,0.405,0.659,0.291,0.0,0.0771,-8.275,0.0348,119.829,0.406,74
293,Beauty Behind The Madness,10,25KybV9BOUlvcnv7nN3Pyo,In The Night,spotify:track:25KybV9BOUlvcnv7nN3Pyo,0.0796,0.505,0.68,0.0,0.0465,-4.993,0.0714,168.022,0.539,74
294,Beauty Behind The Madness,11,3H3qBumaYj67PT3aMEBvAP,As You Are,spotify:track:3H3qBumaYj67PT3aMEBvAP,0.131,0.377,0.329,0.00654,0.279,-9.67,0.0569,173.663,0.0528,65
295,Beauty Behind The Madness,12,6J7PIkhtHwmFjPLq0SyuPj,Dark Times,spotify:track:6J7PIkhtHwmFjPLq0SyuPj,0.116,0.501,0.403,1.03e-05,0.124,-9.611,0.0747,132.608,0.27,64
296,Beauty Behind The Madness,13,1gZADNt16Oh23jWyMYRk4p,Prisoner,spotify:track:1gZADNt16Oh23jWyMYRk4p,0.443,0.551,0.405,0.000217,0.11,-12.756,0.0398,135.017,0.341,66
297,Beauty Behind The Madness,14,0wzPHTgOtFIDhk2rD3Au4x,Angel,spotify:track:0wzPHTgOtFIDhk2rD3Au4x,0.105,0.626,0.583,0.0,0.115,-7.574,0.0435,127.966,0.335,63
298,Beauty Behind The Madness,1,3ktb03wUWLGWllnpNLhEBn,Real Life,spotify:track:3ktb03wUWLGWllnpNLhEBn,0.438,0.58,0.653,0.0,0.351,-5.04,0.0506,90.726,0.346,0
299,Beauty Behind The Madness,2,3ZVu0pxOtzRqbEaaWn8Ytf,Losers,spotify:track:3ZVu0pxOtzRqbEaaWn8Ytf,0.0309,0.661,0.483,0.000801,0.507,-9.793,0.0496,90.994,0.296,0
300,Beauty Behind The Madness,3,1klutO4g56hiKBaXCv1UYT,Tell Your Friends,spotify:track:1klutO4g56hiKBaXCv1UYT,0.218,0.577,0.43,0.0,0.162,-11.294,0.0423,74.52,0.299,0
301,Beauty Behind The Madness,4,3GCp3YggcPIrSffx7OXY0e,Often,spotify:track:3GCp3YggcPIrSffx7OXY0e,0.26,0.503,0.565,0.0,0.116,-10.097,0.0503,67.035,0.0737,1
302,Beauty Behind The Madness,5,0ydruTZ2bBY3TNf2vd8J8q,The Hills,spotify:track:0ydruTZ2bBY3TNf2vd8J8q,0.0743,0.57,0.564,2.5e-06,0.135,-7.108,0.0627,112.892,0.143,1
303,Beauty Behind The Madness,6,18vg0mVjf5cBWXdbO3amQJ,Acquainted,spotify:track:18vg0mVjf5cBWXdbO3amQJ,0.436,0.383,0.502,0.0,0.0996,-9.892,0.053,105.474,0.251,0
304,Beauty Behind The Madness,7,4rHBmOymwElojWx8p3XEq3,Can't Feel My Face,spotify:track:4rHBmOymwElojWx8p3XEq3,0.112,0.705,0.769,0.0,0.105,-5.526,0.0426,107.939,0.59,3
305,Beauty Behind The Madness,8,0ENhTEjXAUhHm47T9D4Uad,Shameless,spotify:track:0ENhTEjXAUhHm47T9D4Uad,0.134,0.608,0.552,0.0,0.102,-8.474,0.0269,100.062,0.267,0
306,Beauty Behind The Madness,9,2uv4moS862MAZcntQfurpz,Earned It (Fifty Shades Of Grey),spotify:track:2uv4moS862MAZcntQfurpz,0.408,0.647,0.291,0.0,0.0771,-8.275,0.0363,119.839,0.4,5
307,Beauty Behind The Madness,10,3VNX0zuvOQMAZQa71k8M7Q,In The Night,spotify:track:3VNX0zuvOQMAZQa71k8M7Q,0.0796,0.505,0.68,0.0,0.0465,-4.99,0.0713,168.021,0.539,1
308,Beauty Behind The Madness,11,4Da8d2dbh0p9cEqMgwvhUE,As You Are,spotify:track:4Da8d2dbh0p9cEqMgwvhUE,0.131,0.371,0.329,0.00625,0.279,-9.667,0.0574,173.661,0.0539,2
309,Beauty Behind The Madness,12,4QmL9O27QxB88uw3Mq4Lp7,Dark Times,spotify:track:4QmL9O27QxB88uw3Mq4Lp7,0.114,0.501,0.403,1.1e-05,0.124,-9.607,0.0752,132.608,0.27,0
310,Beauty Behind The Madness,13,1bLtyw0nNZDvIF4MpHqLOW,Prisoner,spotify:track:1bLtyw0nNZDvIF4MpHqLOW,0.441,0.55,0.404,0.00022,0.11,-12.755,0.0398,135.016,0.329,1
311,Beauty Behind The Madness,14,5buWSg8MDfzReA0794pchb,Angel,spotify:track:5buWSg8MDfzReA0794pchb,0.105,0.626,0.583,0.0,0.115,-7.574,0.0435,127.956,0.335,3
312,Beauty Behind The Madness,1,799OEO2Pl3otfWBYpVMntg,Real Life,spotify:track:799OEO2Pl3otfWBYpVMntg,0.438,0.58,0.653,0.0,0.351,-5.04,0.0506,90.726,0.346,25
313,Beauty Behind The Madness,2,7rZSFfDMDBjQAG2Hs9pnlG,Losers,spotify:track:7rZSFfDMDBjQAG2Hs9pnlG,0.0309,0.661,0.483,0.000801,0.507,-9.793,0.0496,90.994,0.296,27
314,Beauty Behind The Madness,3,5qR4i8K9UCQjYwxzZNLIGj,Tell Your Friends,spotify:track:5qR4i8K9UCQjYwxzZNLIGj,0.218,0.577,0.43,0.0,0.162,-11.294,0.0423,74.52,0.299,33
315,Beauty Behind The Madness,4,6SiyY8zR6v82Cg7Ap8LHBr,Often,spotify:track:6SiyY8zR6v82Cg7Ap8LHBr,0.26,0.503,0.565,0.0,0.116,-10.097,0.0503,67.035,0.0737,41
316,Beauty Behind The Madness,5,4S73p2PcSonb5wbXIcanqv,The Hills,spotify:track:4S73p2PcSonb5wbXIcanqv,0.0743,0.57,0.564,2.5e-06,0.135,-7.108,0.0627,112.892,0.143,51
317,Beauty Behind The Madness,6,7vIMeJM2jGF2qww0PLOBUK,Acquainted,spotify:track:7vIMeJM2jGF2qww0PLOBUK,0.436,0.383,0.502,0.0,0.0996,-9.892,0.053,105.474,0.251,35
318,Beauty Behind The Madness,7,7J8QP8SvEoXC09R9xf7SKt,Can't Feel My Face,spotify:track:7J8QP8SvEoXC09R9xf7SKt,0.112,0.705,0.769,0.0,0.105,-5.526,0.0426,107.939,0.59,46
319,Beauty Behind The Madness,8,7uaBR3RSAEXGWSDk4hEjvQ,Shameless,spotify:track:7uaBR3RSAEXGWSDk4hEjvQ,0.134,0.608,0.552,0.0,0.102,-8.474,0.0269,100.062,0.267,27
320,Beauty Behind The Madness,9,7FNFX9sTKfXqfiir5OWKmY,Earned It (Fifty Shades Of Grey),spotify:track:7FNFX9sTKfXqfiir5OWKmY,0.408,0.647,0.291,0.0,0.0771,-8.275,0.0363,119.839,0.4,56
321,Beauty Behind The Madness,10,3MaQvpdNb4Vv7J7K9jYw1t,In The Night,spotify:track:3MaQvpdNb4Vv7J7K9jYw1t,0.0796,0.505,0.68,0.0,0.0465,-4.99,0.0713,168.021,0.539,40
322,Beauty Behind The Madness,11,6MkumkB800IlwJXGOln4Th,As You Are,spotify:track:6MkumkB800IlwJXGOln4Th,0.131,0.371,0.329,0.00625,0.279,-9.667,0.0574,173.661,0.0539,26
323,Beauty Behind The Madness,12,41oeGHsIkl8UfgwEbyRuP8,Dark Times,spotify:track:41oeGHsIkl8UfgwEbyRuP8,0.114,0.501,0.403,1.1e-05,0.124,-9.607,0.0752,132.608,0.27,26
324,Beauty Behind The Madness,13,3dkeFXyOlKg0THR22hxvsv,Prisoner,spotify:track:3dkeFXyOlKg0THR22hxvsv,0.441,0.55,0.404,0.00022,0.11,-12.755,0.0398,135.016,0.329,26
325,Beauty Behind The Madness,14,3Df2uB1b5XDbJAiu2xOHvH,Angel,spotify:track:3Df2uB1b5XDbJAiu2xOHvH,0.105,0.626,0.583,0.0,0.115,-7.574,0.0435,127.956,0.335,26
