,album,track_number,id,name,uri,acousticness,danceability,energy,instrumentalness,liveness,loudness,speechiness,tempo,valence,popularity
171,After Hours (Deluxe),1,72KBjM7YAZjT02sEmpvPcY,Alone Again,spotify:track:72KBjM7YAZjT02sEmpvPcY,0.0337,0.255,0.653,0.107,0.168,-7.972,0.0551,90.673,0.058,27
172,After Hours (Deluxe),2,3UNf42RQ0rfXvTCzDlxlWo,Too Late,spotify:track:3UNf42RQ0rfXvTCzDlxlWo,0.0514,0.64,0.869,0.000121,0.691,-5.179,0.124,119.949,0.185,25
173,After Hours (Deluxe),3,5S5rJ3mrIkaTiwbfXQgsjs,Hardest To Love,spotify:track:5S5rJ3mrIkaTiwbfXQgsjs,0.0911,0.466,0.609,9.32e-05,0.122,-7.874,0.065,81.186,0.103,25
174,After Hours (Deluxe),4,0fcDGikWzmTShzNTWs1SIv,Scared To Live,spotify:track:0fcDGikWzmTShzNTWs1SIv,0.123,0.48,0.493,0.0,0.0995,-8.311,0.0512,87.343,0.211,24
175,After Hours (Deluxe),5,69RmmcCJmwx9gFzNhXUHRi,Snowchild,spotify:track:69RmmcCJmwx9gFzNhXUHRi,0.174,0.695,0.569,0.000127,0.123,-7.684,0.0955,147.937,0.294,23
176,After Hours (Deluxe),6,0ldNLdX3kExqroQaRJ4Cq1,Escape From LA,spotify:track:0ldNLdX3kExqroQaRJ4Cq1,0.067,0.398,0.506,0.00979,0.164,-9.038,0.0434,145.912,0.177,23
177,After Hours (Deluxe),7,1tMspHbqoGRwHMvwOv44Q2,Heartless,spotify:track:1tMspHbqoGRwHMvwOv44Q2,0.0295,0.617,0.756,2.31e-06,0.116,-5.42,0.065,85.008,0.227,24
178,After Hours (Deluxe),8,2VtfOvb7QuPBGIaDyBXiJQ,Faith,spotify:track:2VtfOvb7QuPBGIaDyBXiJQ,0.631,0.445,0.583,0.0659,0.145,-7.284,0.0674,88.021,0.131,23
179,After Hours (Deluxe),9,3iRwigDWGH0z3R3wFmYmBW,Blinding Lights,spotify:track:3iRwigDWGH0z3R3wFmYmBW,0.00159,0.515,0.727,0.000159,0.0883,-5.962,0.0607,171.012,0.334,27
180,After Hours (Deluxe),10,2OERkBOaYZw5IYZcJpUMmJ,In Your Eyes,spotify:track:2OERkBOaYZw5IYZcJpUMmJ,0.00255,0.667,0.72,7.89e-05,0.0753,-5.349,0.0331,100.021,0.705,26
181,After Hours (Deluxe),11,6HcH1QtJDLSr2MK9ePUDL1,Save Your Tears,spotify:track:6HcH1QtJDLSr2MK9ePUDL1,0.0222,0.684,0.817,2.19e-05,0.439,-5.499,0.0308,118.059,0.623,29
182,After Hours (Deluxe),12,4H7MiMgVrTRKqjp11VMzZk,Repeat After Me (Interlude),spotify:track:4H7MiMgVrTRKqjp11VMzZk,0.0294,0.559,0.619,0.00105,0.104,-8.141,0.0299,95.013,0.108,22
